input_text,target_summary
"User: How do I care for indoor plants?\nAI: Water regularly, provide adequate light, and repot when needed.","The user asked how to care for indoor plants."
"User: What is a comet?\nAI: A comet is a celestial body made of ice and dust that orbits the Sun.","The user asked about comets."
"User: How do I sew a button?\nAI: Thread a needle, knot the end, and stitch through the button holes to secure it.","The user asked how to sew a button."
"User: What is the Mona Lisa?\nAI: The Mona Lisa is a famous painting by Leonardo da Vinci, housed in the Louvre.","The user asked about the Mona Lisa."
"User: What is biochemistry?\nAI: Biochemistry studies the chemical processes within living organisms.","The user asked about biochemistry."
"User: How do I plan a trip?\nAI: Choose a destination, book flights and lodging, and create an itinerary.","The user asked how to plan a trip."
"User: What is the Silk Road?\nAI: The Silk Road was an ancient trade route connecting Asia and Europe.","The user asked about the Silk Road."
"User: How do I make scrambled eggs?\nAI: Whisk eggs, pour into a heated pan, and stir until cooked.","The user asked how to make scrambled eggs."
"User: What is a VPN?\nAI: A VPN, or Virtual Private Network, encrypts your internet connection for privacy.","The user asked about VPNs."
"User: Who was Nelson Mandela?\nAI: Nelson Mandela was a South African leader who fought against apartheid and became president.","The user asked about Nelson Mandela."
"User: What is a coral reef?\nAI: A coral reef is an underwater ecosystem built by calcium carbonate from tiny marine animals.","The user asked about coral reefs."
"User: How do I stretch before exercise?\nAI: Perform dynamic stretches like leg swings and arm circles for 5-10 minutes.","The user asked how to stretch before exercise."
"User: What is the Leaning Tower of Pisa?\nAI: The Leaning Tower of Pisa is a bell tower in Italy, famous for its unintended tilt.","The user asked about the Leaning Tower of Pisa."
"User: How do I make a paper airplane?\nAI: Fold a paper in half, create wings, and adjust for balance.","The user asked how to make a paper airplane."
"User: What is data science?\nAI: Data science uses statistics and programming to analyze and interpret complex data.","The user asked about data science."
"User: What is the Cold War?\nAI: The Cold War was a period of geopolitical tension between the US and Soviet Union after WWII.","The user asked about the Cold War."
"User: How do I clean a laptop screen?\nAI: Use a microfiber cloth and a screen-safe cleaner, wiping gently.","The user asked how to clean a laptop screen."
"User: What is a pulsar?\nAI: A pulsar is a highly magnetized, rotating neutron star that emits beams of radiation.","The user asked about pulsars."
"User: How do I make a to-do list?\nAI: Write tasks in order of priority, keep it short, and review daily.","The user asked how to make a to-do list."
"User: What is the Parthenon?\nAI: The Parthenon is an ancient Greek temple in Athens, dedicated to Athena.","The user asked about the Parthenon."
"User: How do I roast vegetables?\nAI: Toss vegetables in oil, season, and bake at 425°F for 20-30 minutes.","The user asked how to roast vegetables."
"User: What is augmented reality?\nAI: Augmented reality overlays digital information onto the real world through devices.","The user asked about augmented reality."
"User: Who was Joan of Arc?\nAI: Joan of Arc was a French heroine who led military campaigns during the Hundred Years’ War.","The user asked about Joan of Arc."
"User: What is a biome?\nAI: A biome is a large ecological area with distinct climate, plants, and animals.","The user asked about biomes."
"User: How do I tie a scarf?\nAI: Drape the scarf around your neck and loop or knot it for style.","The user asked how to tie a scarf."
"User: What is the Statue of Liberty?\nAI: The Statue of Liberty is a symbol of freedom in New York, gifted by France in 1886.","The user asked about the Statue of Liberty."
"User: How do I make lemonade?\nAI: Mix lemon juice, water, and sugar, then chill and serve.","The user asked how to make lemonade."
"User: What is robotics?\nAI: Robotics involves designing and building machines that perform tasks autonomously.","The user asked about robotics."
"User: What is the Great Barrier Reef?\nAI: The Great Barrier Reef is the world’s largest coral reef system, located off Australia.","The user asked about the Great Barrier Reef."
"User: How do I practice mindfulness?\nAI: Focus on the present moment, breathe deeply, and observe thoughts without judgment.","The user asked how to practice mindfulness."
"User: What is 3D printing?\nAI: 3D printing is a process of creating objects by layering material based on digital designs.","The user asked about 3D printing and its process."
"User: How do I knit a scarf?\nAI: Use knitting needles, cast on stitches, and knit rows until the scarf reaches your desired length.","The user asked how to knit a scarf."
"User: Who was Alexander the Great?\nAI: Alexander the Great was a Macedonian king who created a vast empire in the 4th century BCE.","The user asked about Alexander the Great."
"User: What is the greenhouse effect?\nAI: The greenhouse effect is the trapping of heat by gases in Earth’s atmosphere, warming the planet.","The user asked about the greenhouse effect."
"User: How do I set a table?\nAI: Place plates in the center, forks on the left, knives and spoons on the right, and napkins under or beside.","The user asked how to set a table."
"User: What is a microchip?\nAI: A microchip is a tiny electronic circuit that processes or stores data in devices.","The user asked about microchips."
"User: How do I grow herbs indoors?\nAI: Use pots with drainage, place in a sunny spot, and water sparingly.","The user asked how to grow herbs indoors."
"User: What was the Roman Empire?\nAI: The Roman Empire was a powerful civilization that ruled much of Europe, Africa, and Asia for centuries.","The user asked about the Roman Empire."
"User: What is an atom?\nAI: An atom is the smallest unit of matter, consisting of a nucleus and electrons.","The user asked about atoms."
"User: How do I improve my memory?\nAI: Practice recall exercises, stay organized, and get enough sleep.","The user asked how to improve memory."
"User: What is Machu Picchu?\nAI: Machu Picchu is an ancient Incan city in Peru, known for its mountaintop ruins.","The user asked about Machu Picchu."
"User: How do I make a salad dressing?\nAI: Mix olive oil, vinegar, mustard, and seasonings to taste.","The user asked how to make a salad dressing."
"User: What is cryptocurrency?\nAI: Cryptocurrency is a digital currency secured by cryptography, like Bitcoin.","The user asked about cryptocurrency."
"User: Who was Frida Kahlo?\nAI: Frida Kahlo was a Mexican artist known for her vibrant self-portraits.","The user asked about Frida Kahlo."
"User: What is a tsunami?\nAI: A tsunami is a series of large ocean waves caused by underwater earthquakes or volcanic eruptions.","The user asked about tsunamis."
"User: How do I start journaling?\nAI: Choose a notebook, write daily thoughts, and reflect on your experiences.","The user asked how to start journaling."
"User: What is the Grand Canyon?\nAI: The Grand Canyon is a massive natural gorge in Arizona, carved by the Colorado River.","The user asked about the Grand Canyon."
"User: How do I bake cookies?\nAI: Mix flour, sugar, butter, and eggs, shape into balls, and bake at 375°F for 10-12 minutes.","The user asked how to bake cookies."
"User: What is cloud computing?\nAI: Cloud computing delivers computing services like storage and processing over the internet.","The user asked about cloud computing."
"User: What was the American Revolution?\nAI: The American Revolution was a war from 1775 to 1783 that led to U.S. independence from Britain.","The user asked about the American Revolution."
"User: How do I declutter my home?\nAI: Sort items, keep only essentials, and donate or discard the rest.","The user asked how to declutter a home."
"User: What is a neuron?\nAI: A neuron is a cell in the nervous system that transmits signals.","The user asked about neurons."
"User: How do I make a candle?\nAI: Melt wax, add a wick to a container, pour the wax, and let it cool.","The user asked how to make a candle."
"User: What is the Acropolis?\nAI: The Acropolis is an ancient citadel in Athens, home to the Parthenon.","The user asked about the Acropolis."
"User: What is thermodynamics?\nAI: Thermodynamics is the study of heat, energy, and work in physical systems.","The user asked about thermodynamics."
"User: How do I plan a workout routine?\nAI: Set goals, include cardio and strength exercises, and schedule rest days.","The user asked how to plan a workout routine."
"User: What is the Berlin Wall?\nAI: The Berlin Wall was a barrier dividing East and West Berlin from 1961 to 1989.","The user asked about the Berlin Wall."
"User: How do I make a pizza?\nAI: Spread dough with sauce, add cheese and toppings, and bake at 450°F for 10-15 minutes.","The user asked how to make a pizza."
"User: What is a firewall?\nAI: A firewall is a security system that controls network traffic based on rules.","The user asked about firewalls."
"User: Who was William Shakespeare?\nAI: William Shakespeare was an English playwright known for works like Hamlet and Romeo and Juliet.","The user asked about William Shakespeare."
"User: What is a hurricane?\nAI: A hurricane is a powerful tropical storm with strong winds and heavy rain.","The user asked about hurricanes."
"User: How do I practice gratitude?\nAI: Write down things you’re thankful for daily and reflect on positive moments.","The user asked how to practice gratitude."
"User: What is the Niagara Falls?\nAI: Niagara Falls is a group of three waterfalls on the U.S.-Canada border, known for their size.","The user asked about Niagara Falls."
"User: How do I make a friendship bracelet?\nAI: Braid or knot colorful threads in patterns and tie to secure.","The user asked how to make a friendship bracelet."
"User: What is quantum computing?\nAI: Quantum computing uses quantum mechanics to perform complex computations faster than traditional computers.","The user asked about quantum computing."
"User: What was the Civil Rights Movement?\nAI: The Civil Rights Movement was a 1950s-1960s struggle for racial equality in the U.S.","The user asked about the Civil Rights Movement."
"User: How do I clean a microwave?\nAI: Heat a bowl of water with vinegar, then wipe down the interior.","The user asked how to clean a microwave."
"User: What is a galaxy?\nAI: A galaxy is a massive system of stars, gas, and dust bound by gravity.","The user asked about galaxies."
"User: How do I create a study schedule?\nAI: List subjects, allocate time slots, and include breaks to stay focused.","The user asked how to create a study schedule."
"User: What is the Louvre?\nAI: The Louvre is a world-famous art museum in Paris, housing the Mona Lisa.","The user asked about the Louvre."
"User: How do I grill a steak?\nAI: Season the steak, preheat the grill, and cook 4-5 minutes per side for medium-rare.","The user asked how to grill a steak."
"User: What is machine vision?\nAI: Machine vision enables computers to interpret visual data from images or videos.","The user asked about machine vision."
"User: Who was Rosa Parks?\nAI: Rosa Parks was a civil rights activist known for sparking the Montgomery Bus Boycott.","The user asked about Rosa Parks."
"User: What is an aquifer?\nAI: An aquifer is an underground layer of water-bearing rock or sediment.","The user asked about aquifers."
"User: How do I paint a room?\nAI: Prep walls, apply primer, and use a roller for even coats of paint.","The user asked how to paint a room."
"User: What is the Great Sphinx?\nAI: The Great Sphinx is a limestone statue in Egypt with a lion’s body and human head.","The user asked about the Great Sphinx."
"User: How do I make iced tea?\nAI: Brew tea, cool it, add ice, and sweeten to taste.","The user asked how to make iced tea."
"User: What is an API?\nAI: An API is a set of rules allowing different software applications to communicate.","The user asked about APIs."
"User: What was the Renaissance?\nAI: The Renaissance was a cultural revival in Europe from the 14th to 17th centuries.","The user asked about the Renaissance."
"User: How do I organize my closet?\nAI: Sort clothes, use hangers and bins, and group by category.","The user asked how to organize a closet."
"User: What is a vaccine?\nAI: A vaccine is a substance that stimulates immunity to protect against diseases.","The user asked about vaccines."
"User: How do I make a vision board?\nAI: Collect images and words that inspire you, and arrange them on a poster.","The user asked how to make a vision board."
"User: What is the Kremlin?\nAI: The Kremlin is a fortified complex in Moscow, serving as Russia’s government seat.","The user asked about the Kremlin."
"User: How do I cook rice?\nAI: Rinse rice, add water in a 1:2 ratio, and simmer until absorbed.","The user asked how to cook rice."
"User: What is blockchain technology?\nAI: Blockchain technology is a decentralized system for securely recording transactions.","The user asked about blockchain technology."
"User: Who was Martin Luther King Jr.?\nAI: Martin Luther King Jr. was a U.S. civil rights leader known for his nonviolent activism.","The user asked about Martin Luther King Jr."
"User: What is a monsoon?\nAI: A monsoon is a seasonal wind shift that brings heavy rainfall to certain regions.","The user asked about monsoons."
"User: How do I improve my posture?\nAI: Sit up straight, strengthen core muscles, and avoid slouching.","The user asked how to improve posture."
"User: What is the Panama Canal?\nAI: The Panama Canal is a 50-mile waterway connecting the Atlantic and Pacific Oceans.","The user asked about the Panama Canal."
"User: How do I make a milkshake?\nAI: Blend ice cream, milk, and flavorings until smooth.","The user asked how to make a milkshake."
"User: What is edge computing?\nAI: Edge computing processes data near its source to reduce latency.","The user asked about edge computing."
"User: What was the Space Race?\nAI: The Space Race was a 20th-century competition between the U.S. and Soviet Union for space exploration.","The user asked about the Space Race."
"User: How do I wash delicate clothes?\nAI: Use cold water, a gentle cycle, and air-dry to prevent damage.","The user asked how to wash delicate clothes."
"User: What is a chromosome?\nAI: A chromosome is a structure in cells that carries genetic information.","The user asked about chromosomes."
"User: How do I make a playlist?\nAI: Choose songs, add them to a music app, and arrange in your preferred order.","The user asked how to make a playlist."
"User: What is the Stonehenge?\nAI: Stonehenge is a prehistoric monument in England, made of large standing stones.","The user asked about Stonehenge."
"User: How do I make soup?\nAI: Sauté vegetables, add broth and ingredients, and simmer until flavors meld.","The user asked how to make soup."
"User: What is DevOps?\nAI: DevOps is a set of practices combining development and IT operations for faster software delivery.","The user asked about DevOps."
"User: Who was Cleopatra?\nAI: Cleopatra was the last pharaoh of Egypt, known for her political alliances.","The user asked about Cleopatra."
"User: What is a tornado?\nAI: A tornado is a rapidly rotating column of air that causes destructive winds.","The user asked about tornadoes."
"User: How do I improve my handwriting?\nAI: Practice letter shapes, use lined paper, and write slowly.","The user asked how to improve handwriting."
"User: What is the Sahara Desert?\nAI: The Sahara Desert is the largest hot desert, spanning North Africa.","The user asked about the Sahara Desert."
"User: How do I make pancakes?\nAI: Mix flour, eggs, milk, and sugar, then cook spoonfuls on a hot griddle.","The user asked how to make pancakes."
"User: What is a smart contract?\nAI: A smart contract is a self-executing program on a blockchain that automates agreements.","The user asked about smart contracts."
"User: What was the Middle Ages?\nAI: The Middle Ages was a period in Europe from the 5th to 15th centuries, marked by feudalism.","The user asked about the Middle Ages."
"User: How do I clean a carpet?\nAI: Vacuum thoroughly, spot-treat stains, and use a carpet cleaner.","The user asked how to clean a carpet."
"User: What is a protein?\nAI: A protein is a molecule essential for building and repairing tissues in the body.","The user asked about proteins."
"User: How do I make a scrapbook?\nAI: Gather photos and mementos, arrange on pages, and decorate with stickers.","The user asked how to make a scrapbook."
"User: What is the Burj Khalifa?\nAI: The Burj Khalifa is the tallest building in the world, located in Dubai.","The user asked about the Burj Khalifa."
"User: How do I brew tea?\nAI: Steep tea leaves or a tea bag in hot water for 3-5 minutes.","The user asked how to brew tea."
"User: What is big data?\nAI: Big data refers to large, complex datasets analyzed to reveal patterns and trends.","The user asked about big data."
"User: Who was Abraham Lincoln?\nAI: Abraham Lincoln was the 16th U.S. president, known for abolishing slavery.","The user asked about Abraham Lincoln."
"User: What is an earthquake?\nAI: An earthquake is a sudden shaking of the ground caused by tectonic plate movements.","The user asked about earthquakes."
"User: How do I manage stress?\nAI: Practice deep breathing, exercise, and prioritize tasks to stay calm.","The user asked how to manage stress."
"User: What is the Mount Everest?\nAI: Mount Everest is the highest mountain in the world, located in the Himalayas.","The user asked about Mount Everest."
"User: How do I make a fruit salad?\nAI: Chop various fruits, mix in a bowl, and add a squeeze of lemon juice.","The user asked how to make a fruit salad."
"User: What is a container in software?\nAI: A container is a lightweight, portable unit for running applications with their dependencies.","The user asked about software containers."
"User: What was the Age of Exploration?\nAI: The Age of Exploration was a period from the 15th to 17th centuries when Europeans explored new lands.","The user asked about the Age of Exploration."
"User: How do I polish shoes?\nAI: Apply polish, buff with a cloth, and shine with a brush.","The user asked how to polish shoes."
"User: What is a hormone?\nAI: A hormone is a chemical messenger that regulates bodily functions.","The user asked about hormones."
"User: How do I create a budget?\nAI: Track income and expenses, prioritize savings, and review monthly.","The user asked how to create a budget."
"User: What is the Sydney Opera House?\nAI: The Sydney Opera House is an iconic performing arts center in Australia.","The user asked about the Sydney Opera House."
"User: How do I make guacamole?\nAI: Mash avocados, mix with lime, onion, and cilantro, and season to taste.","The user asked how to make guacamole."
"User: What is serverless computing?\nAI: Serverless computing allows developers to run code without managing servers.","The user asked about serverless computing."
"User: Who was Queen Elizabeth I?\nAI: Queen Elizabeth I was an English monarch who ruled during the 16th century, known for her long reign.","The user asked about Queen Elizabeth I."
"User: What is a volcano?\nAI: A volcano is a mountain that erupts molten rock, ash, and gases from Earth’s crust.","The user asked about volcanoes."
"User: How do I improve my listening skills?\nAI: Focus on the speaker, avoid interrupting, and ask clarifying questions.","The user asked how to improve listening skills."
"User: What is the Amazon River?\nAI: The Amazon River is the second-longest river in the world, flowing through South America.","The user asked about the Amazon River."
"User: What is CI/CD?\nAI: CI/CD is a set of practices for automating software building, testing, and deployment.","The user asked about CI/CD and its purpose."
"User: How do I propagate a plant?\nAI: Take a cutting, place it in water or soil, and ensure it gets light and moisture.","The user asked how to propagate a plant."
"User: Who was Hypatia?\nAI: Hypatia was a Greek mathematician and philosopher in ancient Alexandria.","The user asked about Hypatia."
"User: What is plate tectonics?\nAI: Plate tectonics is the theory explaining the movement of Earth’s lithospheric plates.","The user asked about plate tectonics."
"User: How do I practice deep breathing?\nAI: Inhale slowly through your nose, hold briefly, and exhale through your mouth.","The user asked how to practice deep breathing."
"User: What is a graph database?\nAI: A graph database stores data as nodes and edges, ideal for relationships like social networks.","The user asked about graph databases."
"User: How do I make a dreamcatcher?\nAI: Weave a web with thread on a hoop, add feathers and beads for decoration.","The user asked how to make a dreamcatcher."
"User: What was the Byzantine Empire?\nAI: The Byzantine Empire was the eastern continuation of the Roman Empire, lasting until 1453.","The user asked about the Byzantine Empire."
"User: What is a synapse?\nAI: A synapse is the junction where neurons communicate via chemical signals.","The user asked about synapses."
"User: How do I start birdwatching?\nAI: Get binoculars, a field guide, and visit local parks to observe birds.","The user asked how to start birdwatching."
"User: What is the Serengeti?\nAI: The Serengeti is a vast ecosystem in Tanzania, known for its wildlife and migrations.","The user asked about the Serengeti."
"User: How do I make hummus?\nAI: Blend chickpeas, tahini, lemon juice, and garlic until smooth.","The user asked how to make hummus."
"User: What is Kubernetes?\nAI: Kubernetes is a platform for automating containerized application deployment and scaling.","The user asked about Kubernetes."
"User: Who was Mansa Musa?\nAI: Mansa Musa was a 14th-century Mali emperor, known for his wealth and pilgrimage to Mecca.","The user asked about Mansa Musa."
"User: What is a quasar?\nAI: A quasar is a highly luminous object powered by a supermassive black hole.","The user asked about quasars."
"User: How do I improve my time management?\nAI: Prioritize tasks, use a planner, and set specific deadlines.","The user asked how to improve time management."
"User: What is the Chichen Itza?\nAI: Chichen Itza is a Mayan archaeological site in Mexico, famous for its pyramid.","The user asked about Chichen Itza."
"User: How do I make a quiche?\nAI: Mix eggs, cream, and fillings, pour into a pie crust, and bake at 375°F.","The user asked how to make a quiche."
"User: What is a hash table?\nAI: A hash table is a data structure that maps keys to values for fast lookup.","The user asked about hash tables."
"User: What was the Viking Age?\nAI: The Viking Age was a period from the 8th to 11th centuries marked by Norse exploration.","The user asked about the Viking Age."
"User: How do I care for a goldfish?\nAI: Keep the tank clean, feed sparingly, and maintain stable water conditions.","The user asked how to care for a goldfish."
"User: What is osmosis?\nAI: Osmosis is the movement of water across a semi-permeable membrane.","The user asked about osmosis."
"User: How do I make origami?\nAI: Fold paper precisely following patterns to create shapes like cranes or boxes.","The user asked how to make origami."
"User: What is the Hagia Sophia?\nAI: The Hagia Sophia is a historic architectural marvel in Istanbul, originally a cathedral.","The user asked about the Hagia Sophia."
"User: What is dark matter?\nAI: Dark matter is an invisible substance influencing gravity in the universe.","The user asked about dark matter."
"User: How do I start a podcast?\nAI: Choose a topic, record episodes, and publish on platforms like Spotify.","The user asked how to start a podcast."
"User: What is the Han Dynasty?\nAI: The Han Dynasty was a Chinese empire from 206 BCE to 220 CE, known for its culture.","The user asked about the Han Dynasty."
"User: How do I make a stir-fry?\nAI: Sauté vegetables and protein in a hot pan with oil and sauce.","The user asked how to make a stir-fry."
"User: What is a load balancer?\nAI: A load balancer distributes network traffic across servers for efficiency.","The user asked about load balancers."
"User: Who was Sojourner Truth?\nAI: Sojourner Truth was an abolitionist and women’s rights advocate in the 19th century.","The user asked about Sojourner Truth."
"User: What is a geyser?\nAI: A geyser is a hot spring that erupts water and steam periodically.","The user asked about geysers."
"User: How do I improve my focus?\nAI: Eliminate distractions, set clear goals, and take regular breaks.","The user asked how to improve focus."
"User: What is the Angkor Wat?\nAI: Angkor Wat is a massive temple complex in Cambodia, built in the 12th century.","The user asked about Angkor Wat."
"User: How do I make a smoothie bowl?\nAI: Blend fruit and yogurt, pour into a bowl, and top with granola and nuts.","The user asked how to make a smoothie bowl."
"User: What is Git?\nAI: Git is a version control system for tracking code changes collaboratively.","The user asked about Git."
